Date,Open,High,Low,Close,Adj Close,Volume
2022-04-26,0.997315,1.000512,0.988630,0.995181,0.995181,5573864
2022-04-27,0.995183,1.004111,0.993657,1.000075,1.000075,1588653
2022-04-28,1.000073,1.003548,0.993219,0.999941,0.999941,7808992
2022-04-29,0.999838,1.001122,0.992369,0.996097,0.996097,2185213
2022-04-30,0.996068,1.002164,0.990657,0.996895,0.996895,25022531
2022-05-01,0.996889,1.002658,0.990565,0.996370,0.996370,3097392
2022-05-02,0.996387,1.002275,0.990643,0.995798,0.995798,1646872
2022-05-03,0.995692,0.999306,0.989695,0.993659,0.993659,2157231
2022-05-04,0.993589,1.002899,0.991352,0.996085,0.996085,4828814
2022-05-05,0.995970,0.997904,0.989306,0.994035,0.994035,3837423
2022-05-06,0.993987,1.000867,0.988304,0.995600,0.995600,2138542
2022-05-07,0.995297,0.999558,0.988594,0.990778,0.990778,72662
2022-05-08,0.993632,0.997474,0.988122,0.991574,0.991574,1623972
2022-05-09,0.991528,1.004562,0.987045,0.989910,0.989910,2549683
2022-05-10,0.989305,1.006555,0.986270,0.997932,0.997932,141038
2022-05-11,0.997914,1.005511,0.966691,0.989879,0.989879,2436888
2022-05-12,0.980256,1.002951,0.953295,0.994006,0.994006,8606366
2022-05-13,0.993462,1.013627,0.975174,0.993223,0.993223,411951
2022-05-14,0.993269,1.004755,0.985732,0.996736,0.996736,754802
2022-05-15,0.996706,1.003654,0.988361,0.998622,0.998622,35874275
2022-05-16,0.998721,1.001873,0.986899,0.990917,0.990917,2393217
2022-05-17,0.990997,1.001935,0.988186,0.996447,0.996447,2521930
2022-05-18,0.996495,0.998374,0.987343,0.987368,0.987368,11147533
2022-05-19,0.993187,0.999615,0.984552,0.999255,0.999255,5311389
2022-05-20,0.999214,1.003077,0.991093,0.995360,0.995360,2103677
2022-05-21,0.995840,1.000611,0.991415,0.994576,0.994576,851461
2022-05-22,0.994515,1.002126,0.992211,1.001142,1.001142,1413696
2022-05-23,1.000971,1.002982,0.988560,0.995063,0.995063,3590973
2022-05-24,0.995078,0.998938,0.988290,0.994898,0.994898,5929427
2022-05-25,0.994733,1.001340,0.991298,0.997836,0.997836,3848319
2022-05-26,0.997874,1.003719,0.991190,0.994870,0.994870,16042496
2022-05-27,0.994587,1.000794,0.987526,0.996807,0.996807,2145760
2022-05-28,0.994620,0.998961,0.987499,0.996370,0.996370,345416
2022-05-29,0.996304,0.998509,0.990590,0.996134,0.996134,258363
2022-05-30,0.995923,1.001338,0.991263,0.995688,0.995688,24953938
2022-05-31,0.995601,1.003474,0.990691,0.996705,0.996705,9216895
2022-06-01,0.996637,1.003995,0.991576,0.998732,0.998732,2592050
2022-06-02,0.998618,1.001861,0.992119,0.998685,0.998685,8175868
2022-06-03,1.001418,1.003414,0.987893,0.999797,0.999797,6913243
2022-06-04,0.999874,1.005414,0.995688,1.002506,1.002506,48763502
2022-06-05,1.002529,1.006871,0.997545,1.000695,1.000695,42679026
2022-06-06,1.000859,1.010246,0.994824,1.000393,1.000393,6513519
2022-06-07,1.000494,1.005950,0.986169,0.998236,0.998236,71911484
2022-06-08,0.998589,1.005013,0.991118,1.000966,1.000966,14663887
2022-06-09,0.999340,1.003850,0.995651,0.999089,0.999089,8312130
2022-06-10,0.999079,1.003506,0.990867,0.996230,0.996230,9295334
2022-06-11,0.996244,1.003171,0.990728,0.996006,0.996006,9646074
2022-06-12,0.996215,1.007573,0.992057,0.993765,0.993765,5187414
2022-06-13,0.992523,1.005743,0.988251,0.999882,0.999882,23473612
2022-06-14,0.999799,1.009837,0.991347,1.000374,1.000374,11650992
2022-06-15,1.000021,1.008134,0.989183,1.004419,1.004419,24987367
2022-06-16,1.004428,1.004428,0.988379,0.995670,0.995670,49184183
2022-06-17,0.995865,1.005673,0.992399,0.998495,0.998495,57210308
2022-06-18,0.998353,1.007862,0.985424,0.996748,0.996748,62101710
2022-06-19,0.996395,1.008984,0.989142,0.996994,0.996994,142612977
2022-06-20,0.996897,1.003866,0.991536,1.000231,1.000231,119809374
2022-06-21,1.000154,1.005641,0.991864,0.995683,0.995683,57237160
2022-06-22,0.996060,1.002255,0.989826,0.994596,0.994596,64889284
2022-06-23,0.994578,1.001266,0.988433,0.996160,0.996160,97166004
2022-06-24,0.996017,0.999945,0.988506,0.994823,0.994823,99377141
2022-06-25,0.994996,1.003286,0.990203,0.998667,0.998667,52864957
2022-06-26,0.998502,1.000444,0.992178,0.994536,0.994536,29467860
2022-06-27,0.994728,1.002020,0.992618,0.994975,0.994975,8569382
2022-06-28,0.994973,1.002411,0.992187,0.999013,0.999013,31598009
2022-06-29,0.998999,1.001551,0.991764,0.994607,0.994607,76059017
2022-06-30,0.994839,1.007434,0.990931,1.006529,1.006529,66073098
2022-07-01,1.007181,1.007384,0.993626,0.999952,0.999952,106227434
2022-07-02,1.000278,1.004104,0.995884,0.999883,0.999883,36730937
2022-07-03,0.999861,1.007080,0.996147,1.000968,1.000968,12430300
2022-07-04,1.000943,1.009572,0.994591,1.002610,1.002610,74004304
2022-07-05,1.002581,1.009628,0.993359,0.998741,0.998741,42294850
2022-07-06,0.998941,1.007387,0.994137,1.004000,1.004000,45409922
2022-07-07,1.004025,1.009598,0.998725,1.003759,1.003759,28685130
2022-07-08,1.003705,1.011332,0.996726,1.001758,1.001758,12105074
2022-07-09,1.001623,1.006382,0.995512,0.999400,0.999400,1349042
2022-07-10,0.999363,1.007177,0.991867,1.002123,1.002123,2310174
2022-07-11,1.001972,1.008071,0.995096,0.998710,0.998710,2462496
2022-07-12,0.998687,1.005087,0.997749,1.001759,1.001759,12376932
2022-07-13,1.001761,1.009530,0.997097,1.005686,1.005686,54720345
2022-07-14,1.005705,1.022081,1.001646,1.007917,1.007917,48074498
2022-07-15,1.007951,1.014721,0.998339,1.003724,1.003724,99234962
2022-07-16,1.003527,1.015598,1.001479,1.005248,1.005248,40238988
2022-07-17,1.005363,1.009941,0.999929,1.003007,1.003007,60798511
2022-07-18,1.003164,1.011332,0.998868,1.009878,1.009878,110020678
2022-07-19,1.009609,1.012765,1.001757,1.004682,1.004682,181069618
2022-07-20,1.004678,1.021799,0.999300,1.001808,1.001808,85052394
2022-07-21,1.001799,1.016167,0.998006,1.005910,1.005910,49840384
2022-07-22,1.005694,1.009370,0.996357,1.002023,1.002023,48070099
2022-07-23,1.001704,1.010516,0.996189,1.006016,1.006016,45127289
2022-07-24,1.006015,1.010811,0.999127,1.000788,1.000788,13933961
2022-07-25,1.000766,1.015660,0.994171,0.999963,0.999963,35280477
2022-07-26,1.000300,1.011912,0.993873,1.011537,1.011537,16445228
2022-07-27,1.011133,1.014920,0.995375,1.007070,1.007070,22220617
2022-07-28,1.007089,1.012524,1.000794,1.007324,1.007324,30381914
2022-07-29,1.007380,1.013813,0.995021,1.007684,1.007684,40197415
2022-07-30,1.007536,1.008416,0.999472,1.005272,1.005272,14228358
2022-07-31,1.005270,1.011417,0.997662,1.001199,1.001199,5830601
2022-08-01,1.001195,1.013285,1.000177,1.005729,1.005729,5993318
2022-08-02,1.005596,1.017694,0.996630,1.004860,1.004860,10112232
2022-08-03,1.004983,1.013044,1.000494,1.006274,1.006274,8385772
2022-08-04,1.006250,1.013888,0.999105,1.009701,1.009701,12494377
2022-08-05,1.009577,1.020209,0.999669,1.009932,1.009932,7039780
2022-08-06,1.010050,1.011432,1.000772,1.004117,1.004117,4967411
2022-08-07,1.004266,1.010281,1.001736,1.004377,1.004377,6370878
2022-08-08,1.004430,1.015884,0.996449,1.004686,1.004686,4844725
2022-08-09,1.004911,1.011429,0.998069,1.006463,1.006463,20618152
2022-08-10,1.006420,1.014599,1.003051,1.006721,1.006721,34771402
2022-08-11,1.006840,1.011325,0.999411,1.008620,1.008620,30081646
2022-08-12,1.008496,1.015637,1.003811,1.011623,1.011623,10099372
2022-08-13,1.011476,1.011599,1.002984,1.006391,1.006391,3916751
2022-08-14,1.006554,1.011977,1.000803,1.004187,1.004187,11634460
2022-08-15,1.004253,1.011639,0.997929,1.005837,1.005837,27885143
2022-08-16,1.005423,1.009173,0.998785,1.002631,1.002631,17600265
2022-08-17,1.002546,1.007942,0.996229,1.005355,1.005355,35870088
2022-08-18,1.005354,1.008114,1.000321,1.001968,1.001968,12678911
2022-08-19,1.001900,1.010029,0.996643,1.002754,1.002754,47560161
2022-08-20,1.002606,1.010892,0.999234,1.005794,1.005794,16483742
2022-08-21,1.005666,1.011441,1.000870,1.005187,1.005187,18522253
2022-08-22,1.004916,1.014447,0.999073,1.013161,1.013161,22316737
2022-08-23,1.012839,1.013281,0.999346,1.005518,1.005518,37628175
2022-08-24,1.005405,1.012315,1.001882,1.005896,1.005896,28605870
2022-08-25,1.005903,1.013044,1.005903,1.009553,1.009553,18019018
2022-08-26,1.009277,1.015805,1.002207,1.009098,1.009098,53917144
2022-08-27,1.009685,1.014199,1.002303,1.007417,1.007417,20156148
2022-08-28,1.007323,1.011403,1.003383,1.003580,1.003580,34124008
2022-08-29,1.003817,1.016606,1.003817,1.011887,1.011887,29909503
2022-08-30,1.011960,1.014351,1.003640,1.007421,1.007421,58862321
2022-08-31,1.007442,1.017067,1.004921,1.012113,1.012113,48232073
2022-09-01,1.012101,1.016757,1.005365,1.013043,1.013043,35686078
2022-09-02,1.012790,1.016818,1.006336,1.009763,1.009763,31530603
2022-09-03,1.009813,1.015748,1.005824,1.013354,1.013354,91870735
2022-09-04,1.013277,1.014977,1.007435,1.011589,1.011589,21580456
2022-09-05,1.011687,1.013862,1.005481,1.013061,1.013061,9007278
2022-09-06,1.012992,1.016577,1.004786,1.007475,1.007475,49541476
2022-09-07,1.009714,1.013339,1.003626,1.007033,1.007033,41589069
2022-09-08,1.007014,1.010167,1.005277,1.007610,1.007610,28358136
2022-09-09,1.007566,1.017472,1.007261,1.009971,1.009971,21262287
2022-09-10,1.010489,1.014887,1.006690,1.009016,1.009016,4967670
2022-09-11,1.009236,1.012452,1.005904,1.011073,1.011073,18647325
2022-09-12,1.011293,1.014549,1.001296,1.003043,1.003043,12687663
2022-09-13,1.003342,1.019700,0.998779,1.007445,1.007445,4089154
2022-09-14,0.999925,1.012343,0.998798,1.006239,1.006239,12199166
2022-09-15,1.006284,1.012307,0.996442,1.002925,1.002925,4957268
2022-09-16,1.005772,1.010793,0.997908,1.006626,1.006626,6125696
2022-09-17,1.004433,1.012086,1.001566,1.007607,1.007607,1132320
2022-09-18,1.007534,1.008039,1.000102,1.002393,1.002393,1957327
2022-09-19,1.002535,1.015140,0.998913,1.005527,1.005527,3814873
2022-09-20,1.005227,1.010442,0.999142,1.002965,1.002965,2936773
2022-09-21,1.003020,1.014835,0.994852,1.009115,1.009115,4158179
2022-09-22,1.008796,1.013865,1.001778,1.007186,1.007186,3907468
2022-09-23,1.006977,1.010249,0.999685,1.004783,1.004783,4270654
2022-09-24,1.004767,1.008701,0.999866,1.003145,1.003145,1602503
2022-09-25,1.003011,1.010235,0.996442,1.006890,1.006890,1365081
2022-09-26,1.006433,1.013603,1.003138,1.011150,1.011150,7982612
2022-09-27,1.010833,1.018819,0.999948,1.008993,1.008993,2634567
2022-09-28,1.008656,1.012870,0.997593,1.005215,1.005215,4853300
2022-09-29,1.005274,1.012124,1.001159,1.007757,1.007757,15338253
2022-09-30,1.007779,1.014020,1.003732,1.006101,1.006101,3065132
2022-10-01,1.006387,1.008151,1.002850,1.006203,1.006203,2767678
2022-10-02,1.006283,1.007361,0.998740,1.003194,1.003194,2463659
2022-10-03,1.003401,1.008661,1.001495,1.007916,1.007916,1693529
2022-10-04,1.007882,1.016810,1.002476,1.007727,1.007727,2052671
2022-10-05,1.007723,1.015439,0.993666,1.012889,1.012889,2498608
2022-10-06,1.012938,1.017595,0.995526,1.008115,1.008115,21617964
2022-10-07,1.008253,1.014678,1.002107,1.010740,1.010740,2882663
2022-10-08,1.010689,1.013785,1.004998,1.009887,1.009887,1202197
2022-10-09,1.009932,1.012905,1.006657,1.010998,1.010998,957766
2022-10-10,1.011019,1.012041,1.003701,1.004079,1.004079,2950846
2022-10-11,1.004044,1.013025,1.003135,1.007813,1.007813,2005666
2022-10-12,1.007935,1.013205,1.006637,1.009478,1.009478,2832897
2022-10-13,1.009533,1.018991,0.999087,1.006810,1.006810,4144167
2022-10-14,1.006793,1.012116,1.004067,1.009396,1.009396,3077606
